Source,Target,Type,Id,Label,Weight
did:plc:22gbzgissle6hqibidfgqpq3,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,175,,1
did:plc:maarafolcmqlzhw6cmtfqfka,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,176,,1
did:plc:qaefpzs4uaujukw5lfoaqorj,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,177,,1
did:plc:3gkltooevyr34zkfuf4yj6lf,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,178,,1
did:plc:ysoffi2aqx4pg2xibtvsgbyi,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,179,,1
did:plc:ifnqw4xnhlxqpdxo7qy6posa,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,180,,1
did:plc:xt4kp3ur3gdka77mfws3g2bi,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,181,,1
did:plc:llixkoqrzd4j2lkbtj7cevld,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,182,,1
did:plc:yp7gtrtcmk2oi2m34ctrpm65,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,183,,1
did:plc:iwryyfufk2v6z35525pelvi4,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,184,,1
did:plc:pdwbzswonch7u4xao6hzuuyo,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,185,,1
did:plc:e22tbbd6hpj6647ueu3yrxcn,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,186,,1
did:plc:ojbegvhfxagun6tse2z6heil,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,187,,1
did:plc:kpierqtetujflczfni2grizm,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,188,,1
did:plc:pmvjym27ltipq6nq7dzsdx6q,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,189,,1
did:plc:vorl3rrhn74fq3e3nkbelq45,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,190,,1
did:plc:ljoejkrjyjlgbxdh2xtzz5fq,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,191,,1
